char,name,replacement,codepoint,mufidecode
c,LATIN SMALL LETTER C,c,63,c
⁊,TIRONIAN SIGN ET,⁊,204A,et
s,LATIN SMALL LETTER S,s,73,s
:,COLON,:,003A,:
̉,COMBINING HOOK ABOVE,̉,309,
p,LATIN SMALL LETTER P,p,70,p
ſ,LATIN SMALL LETTER LONG S,ſ,017F,s
r,LATIN SMALL LETTER R,r,72,r
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,0,c
̃,COMBINING TILDE,̃,303,
ꝺ,LATIN SMALL LETTER INSULAR D,ꝺ,A77A,d
u,LATIN SMALL LETTER U,u,75,u
.,FULL STOP,.,002E,.
t,LATIN SMALL LETTER T,t,74,t
⸗,DOUBLE OBLIQUE HYPHEN,⸗,"2,00000E+17",
d,LATIN SMALL LETTER D,d,64,d
O,LATIN CAPITAL LETTER O,O,004F,O
Y,LATIN CAPITAL LETTER Y,Y,59,Y
q,LATIN SMALL LETTER Q,q,71,q
y,LATIN SMALL LETTER Y,y,79,y
i,LATIN SMALL LETTER I,i,69,i
h,LATIN SMALL LETTER H,h,68,h
ꝛ,LATIN SMALL LETTER R ROTUNDA,ꝛ,A75B,r
f,LATIN SMALL LETTER F,f,66,f
¶,PILCROW SIGN,¶,00B6,
e,LATIN SMALL LETTER E,e,65,e
a,LATIN SMALL LETTER A,a,61,a
v,LATIN SMALL LETTER V,v,76,v
n,LATIN SMALL LETTER N,n,006E,n
m,LATIN SMALL LETTER M,m,006D,m
g,LATIN SMALL LETTER G,g,67,g
̧,COMBINING CEDILLA,̧,327,
o,LATIN SMALL LETTER O,o,006F,o
l,LATIN SMALL LETTER L,l,006C,l
/,SOLIDUS,/,002F,/
z,LATIN SMALL LETTER Z,z,007A,z
í,LATIN SMALL LETTER I WITH ACUTE,i,00ED,i
b,LATIN SMALL LETTER B,b,62,b
B,LATIN CAPITAL LETTER B,B,42,B
',APOSTROPHE,',27,'
(,LEFT PARENTHESIS,(,28,(
),RIGHT PARENTHESIS,),29,)
1,DIGIT ONE,1,31,1
2,DIGIT TWO,2,32,2
5,DIGIT FIVE,5,35,5
?,QUESTION MARK,,003F,?
A,LATIN CAPITAL LETTER A,A,41,A
C,LATIN CAPITAL LETTER C,C,43,C
D,LATIN CAPITAL LETTER D,D,44,D
E,LATIN CAPITAL LETTER E,E,45,E
F,LATIN CAPITAL LETTER F,F,46,F
G,LATIN CAPITAL LETTER G,G,47,G
H,LATIN CAPITAL LETTER H,H,48,H
I,LATIN CAPITAL LETTER I,I,49,I
J,LATIN CAPITAL LETTER J,J,004A,J
L,LATIN CAPITAL LETTER L,L,004C,L
M,LATIN CAPITAL LETTER M,M,004D,M
N,LATIN CAPITAL LETTER N,N,004E,N
P,LATIN CAPITAL LETTER P,P,50,P
Q,LATIN CAPITAL LETTER Q,Q,51,Q
R,LATIN CAPITAL LETTER R,R,52,R
S,LATIN CAPITAL LETTER S,S,53,S
T,LATIN CAPITAL LETTER T,T,54,T
U,LATIN CAPITAL LETTER U,U,55,U
V,LATIN CAPITAL LETTER V,V,56,V
X,LATIN CAPITAL LETTER X,X,58,X
Z,LATIN CAPITAL LETTER Z,Z,005A,Z
j,LATIN SMALL LETTER J,j,006A,j
x,LATIN SMALL LETTER X,x,78,x
à,LATIN SMALL LETTER A WITH GRAVE,ã,0,a
ã,LATIN SMALL LETTER A WITH TILDE,ã,0,a
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,ẽ,00EA,e
ñ,LATIN SMALL LETTER N WITH TILDE,ñ,00F1,n
õ,LATIN SMALL LETTER O WITH TILDE,õ,00F5,o
ē,LATIN SMALL LETTER E WITH MACRON,ẽ,113,e
ō,LATIN SMALL LETTER O WITH MACRON,õ,014D,o
ũ,LATIN SMALL LETTER U WITH TILDE,ũ,169,u
ū,LATIN SMALL LETTER U WITH MACRON,ũ,016B,u
ʒ,LATIN SMALL LETTER EZH,ʒ,292,Z
ʻ,MODIFIER LETTER TURNED COMMA,ʻ,02BB,`
̄,COMBINING MACRON,̄,304,
̇,COMBINING DOT ABOVE,̇,307,
̈,COMBINING DIAERESIS,̈,308,
̍,COMBINING VERTICAL LINE ABOVE,̍,030D,
̓,COMBINING COMMA ABOVE,̉,313,
ͥ,COMBINING LATIN SMALL LETTER I,ͥ,365,i
δ,GREEK SMALL LETTER DELTA,ꝺ,03B4,d
ς,GREEK SMALL LETTER FINAL SIGMA,ς,03C2,s
ḋ,LATIN SMALL LETTER D WITH DOT ABOVE,ꝺ̉,1E0B,d
ṗ,LATIN SMALL LETTER P WITH DOT ABOVE,p᷎,"1,00000E+57",p
ẽ,LATIN SMALL LETTER E WITH TILDE,ẽ,1EBD,e
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,A751,p
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,ꝓ,A753,p
